mesh_code,longitude,latitude
5439219424,139.18593750000002,36.244791666666664
5439219423,139.1828125,36.244791666666664
5439219422,139.18593750000002,36.24270833333333
5439219421,139.1828125,36.24270833333333
5439219414,139.17968750000003,36.244791666666664
5439219413,139.17656250000002,36.244791666666664
5439219412,139.17968750000003,36.24270833333333
5439219411,139.17656250000002,36.24270833333333
5439219344,139.1734375,36.248958333333334
5439219343,139.1703125,36.248958333333334
5439219342,139.1734375,36.246875
5439219341,139.1703125,36.246875
5439219334,139.1671875,36.248958333333334
5439219333,139.1640625,36.248958333333334
5439219332,139.1671875,36.246875
5439219331,139.1640625,36.246875
5439219324,139.1734375,36.244791666666664
5439219323,139.1703125,36.244791666666664
5439219322,139.1734375,36.24270833333333
5439219321,139.1703125,36.24270833333333
5439219314,139.1671875,36.244791666666664
5439219313,139.1640625,36.244791666666664
5439219312,139.1671875,36.24270833333333
5439219311,139.1640625,36.24270833333333
5439219244,139.16093750000002,36.248958333333334
5439219243,139.1578125,36.248958333333334
5439219242,139.16093750000002,36.246875
5439219241,139.1578125,36.246875
5439219224,139.16093750000002,36.244791666666664
5439219222,139.16093750000002,36.24270833333333
5439219221,139.1578125,36.24270833333333
5439218934,139.24218750000003,36.240625
5439218933,139.23906250000002,36.240625
5439218932,139.24218750000003,36.23854166666667
5439218931,139.23906250000002,36.23854166666667
5439218923,139.2453125,36.23645833333333
5439218913,139.23906250000002,36.23645833333333
5439218844,139.2359375,36.240625
5439218843,139.2328125,36.240625
5439218842,139.2359375,36.23854166666667
5439218834,139.2296875,36.240625
5439218833,139.2265625,36.240625
5439218811,139.2265625,36.234375
5439218742,139.22343750000002,36.23854166666667
5439218741,139.2203125,36.23854166666667
5439218731,139.2140625,36.23854166666667
5439218724,139.22343750000002,36.23645833333333
5439218723,139.2203125,36.23645833333333
5439218722,139.22343750000002,36.234375
5439218721,139.2203125,36.234375
5439218714,139.21718750000002,36.23645833333333
5439218712,139.21718750000002,36.234375
5439218643,139.2078125,36.240625
5439218642,139.2109375,36.23854166666667
5439218641,139.2078125,36.23854166666667
5439218633,139.2015625,36.240625
5439218632,139.2046875,36.23854166666667
5439218631,139.2015625,36.23854166666667
5439218624,139.2109375,36.23645833333333
5439218623,139.2078125,36.23645833333333
5439218621,139.2078125,36.234375
5439218614,139.2046875,36.23645833333333
