mesh_code,type,num,distance
5439105611,"shiminkatsudo",0,15586.109559242532
5439105611,"kominkan",12,8871.167956056996
5439105611,"kominkan",11,11430.292963962356
5439105611,"kominkan",10,8747.8140968902
5439105611,"kominkan",9,14282.528424900243
5439105611,"kominkan",8,17339.330110177827
5439105611,"kominkan",7,18046.19324044867
5439105611,"kominkan",6,18219.820934683266
5439105611,"kominkan",5,13727.695022928234
5439105611,"kominkan",4,15853.112186338309
5439105611,"kominkan",3,16333.136364483133
5439105611,"kominkan",2,16962.835961228167
5439105611,"kominkan",1,7905.05910840678
5439105611,"kominkan",0,15087.592039486697
5439105613,"super",4,9195.570130565702
5439105613,"super",3,8206.62103625596
5439105613,"super",2,15990.041077009082
5439105613,"super",1,9200.446976603514
5439105613,"super",0,15495.851646971214
5439105613,"byoin",5,8781.453253237189
5439105613,"byoin",4,16082.492883287307
5439105613,"byoin",3,15002.539456012995
5439105613,"byoin",2,8326.654605731712
5439105613,"byoin",1,15675.351446528857
5439105613,"byoin",0,14780.287275562245
5439105613,"jido",1,16315.767086633154
5439105613,"jido",0,15337.501667934986
5439105613,"shiryokanto",2,8662.307672463547
5439105613,"shiryokanto",1,8709.054928963904
5439105613,"shiryokanto",0,15987.399423027502
5439105613,"toshokan",1,7697.885908128597
5439105613,"toshokan",0,15782.926291815313
5439105613,"sangyoshinko",2,15657.552412579824
5439105613,"sangyoshinko",1,3065.138408478112
5439105613,"sangyoshinko",0,5876.772091033963
5439105613,"sports",5,7601.34045729291
5439105613,"sports",4,14607.073364987773
5439105613,"sports",3,14607.073364987773
5439105613,"sports",2,16417.279474141633
5439105613,"sports",1,16417.279474141633
5439105613,"sports",0,15278.706280012273
5439105613,"bunka",1,7697.885908128597
5439105613,"bunka",0,14915.318899511582
5439105613,"shiminkatsudo",3,17136.462121220775
5439105613,"shiminkatsudo",2,12916.675593711747
5439105613,"shiminkatsudo",1,15278.706280012273
5439105613,"shiminkatsudo",0,15407.634800487262
5439105613,"kominkan",12,8686.031164210872
5439105613,"kominkan",11,11242.806044445944
5439105613,"kominkan",10,8562.025977044397
5439105613,"kominkan",9,14119.623992904175
5439105613,"kominkan",8,17140.66941820888
5439105613,"kominkan",7,17872.630753684873
5439105613,"kominkan",6,18065.339619759212
5439105613,"kominkan",5,13538.52277215395
5439105613,"kominkan",4,15658.55142191538
5439105613,"kominkan",3,16164.377929217299
5439105613,"kominkan",2,16784.42898564183
5439105613,"kominkan",1,7697.885908128597
5439105613,"kominkan",0,14915.318899511582
5439105631,"super",4,9020.809769740985
5439105631,"super",3,8021.342203570133
5439105631,"super",2,15813.819642614288
5439105631,"super",1,9002.223966011405
5439105631,"super",0,15313.86204303489
5439105631,"byoin",5,8588.592832365073
5439105631,"byoin",4,15892.944485029158
5439105631,"byoin",3,14834.579820615369
5439105631,"byoin",2,8150.965150298166
5439105631,"byoin",1,15476.503304266165
5439105631,"byoin",0,14610.103517642438
5439105631,"jido",1,16146.943069332285
5439105631,"jido",0,15154.4653577239
5439105631,"shiryokanto",2,8465.935673787064
5439105631,"shiryokanto",1,8522.908243604099
5439105631,"shiryokanto",0,15803.826016351622
5439105631,"toshokan",1,7492.162913211053
5439105631,"toshokan",0,15597.558569576426
5439105631,"sangyoshinko",2,15480.776015710271
5439105631,"sangyoshinko",1,2849.477786101815
5439105631,"sangyoshinko",0,5710.906983952193
5439105631,"sports",5,7397.060803308432
5439105631,"sports",4,14448.984394125942
5439105631,"sports",3,14448.984394125942
5439105631,"sports",2,16226.482791132421
