mesh_code,type,num,distance
5439104631,kominkan,5,5638.846374
5439104631,kominkan,6,3571.95871
5439104631,kominkan,7,1762.722016
5439104631,kominkan,8,2917.517469
5439104631,kominkan,9,5484.676093
5439104631,kominkan,10,10577.4212
5439104631,kominkan,11,7905.727796
5439104631,kominkan,12,10452.64078
5439104631,sangyoshinko,0,13301.01765
5439104631,sangyoshinko,1,16235.79457
5439104631,sangyoshinko,2,3536.206652
5439104631,shiminkatsudo,0,3776.700718
5439104631,shiminkatsudo,1,4066.114111
5439104631,shiminkatsudo,2,6271.738974
5439104631,shiminkatsudo,3,2695.539854
5439104631,shiryokanto,0,3155.605226
5439104631,shiryokanto,1,10437.19034
5439104631,shiryokanto,2,10569.74993
5439104631,sports,0,4066.114111
5439104631,sports,1,2937.428892
5439104631,sports,2,2937.428892
5439104631,sports,3,5192.518826
5439104631,sports,4,5192.518826
5439104631,sports,5,11732.51334
5439104631,super,0,3642.235522
5439104631,super,1,10072.50939
5439104631,super,2,3224.403204
5439104631,super,3,10936.41729
5439104631,super,4,9961.131805
5439104631,toshokan,0,3378.541588
5439104631,toshokan,1,11670.19293
5439104633,bunka,0,4221.539223
5439104633,bunka,1,11278.82343
5439104633,byoin,0,4361.253108
5439104633,byoin,1,3586.239522
5439104633,byoin,2,10499.82973
5439104633,byoin,3,4264.60255
5439104633,byoin,4,2763.558372
5439104633,byoin,5,10043.71802
5439104633,jido,0,3471.825722
5439104633,jido,1,3151.414741
5439104633,kominkan,0,4221.539223
5439104633,kominkan,1,11278.82343
5439104633,kominkan,2,2260.283763
5439104633,kominkan,3,3374.75607
5439104633,kominkan,4,3303.767818
5439104633,kominkan,5,5266.481126
5439104633,kominkan,6,3877.276064
5439104633,kominkan,7,1888.423661
5439104633,kominkan,8,2363.990284
5439104633,kominkan,9,5339.587268
5439104633,kominkan,10,10236.12581
5439104633,kominkan,11,7554.791112
5439104633,kominkan,12,10113.06798
5439104633,sangyoshinko,0,12982.32091
5439104633,sangyoshinko,1,15871.34155
5439104633,sangyoshinko,2,3302.110706
5439104633,shiminkatsudo,0,3529.618508
5439104633,shiminkatsudo,1,3624.755699
5439104633,shiminkatsudo,2,5895.648421
5439104633,shiminkatsudo,3,2151.709413
5439104633,shiryokanto,0,2819.537384
5439104633,shiryokanto,1,10088.87924
5439104633,shiryokanto,2,10193.95809
5439104633,sports,0,3624.755699
5439104633,sports,1,2476.577182
5439104633,sports,2,2476.577182
5439104633,sports,3,5096.826498
5439104633,sports,4,5096.826498
5439104633,sports,5,11345.4608
5439104633,super,0,3327.42386
5439104633,super,1,9687.216529
5439104633,super,2,3014.636584
5439104633,super,3,10590.78344
5439104633,super,4,9645.034447
5439104633,toshokan,0,3014.441014
5439104633,toshokan,1,11278.82343
5439105512,bunka,0,3925.688606
5439105512,bunka,1,10917.82737
5439105512,byoin,0,4064.115022
5439105512,byoin,1,3232.599898
5439105512,byoin,2,10151.45466
