type,mesh_code,disp,sd
bunka,5439217433,0.245881434,0.49586433
bunka,5439217434,0.273372358,0.522850225
bunka,5439217441,0.32110559,0.566661795
bunka,5439217442,0.357321756,0.597763964
bunka,5439217443,0.301203642,0.548820227
bunka,5439217444,0.32422638,0.569408799
bunka,5439217512,0.368375954,0.606939828
bunka,5439217513,0.427625818,0.65393105
bunka,5439217514,0.37019145,0.608433604
bunka,5439217521,0.325345493,0.570390649
bunka,5439217522,0.29338399,0.541649324
bunka,5439217523,0.3269105,0.571760876
bunka,5439217524,0.294888846,0.543036689
bunka,5439217531,0.371306481,0.609349227
bunka,5439217532,0.348537851,0.590370943
bunka,5439217533,0.332420357,0.576559066
bunka,5439217534,0.32193548,0.567393585
bunka,5439217541,0.31753606,0.56350338
bunka,5439217542,0.290194941,0.538697448
bunka,5439217543,0.302061338,0.549601072
bunka,5439217544,0.280971818,0.530067748
bunka,5439217611,0.268345649,0.518020897
bunka,5439217612,0.248010563,0.49800659
bunka,5439217613,0.269808041,0.519430497
bunka,5439217614,0.249426378,0.499426048
bunka,5439217621,0.231075147,0.480702764
bunka,5439217622,0.21670634,0.465517282
bunka,5439217623,0.232439009,0.48211929
bunka,5439217624,0.218014794,0.466920544
bunka,5439217631,0.267313045,0.517023254
bunka,5439217632,0.248113684,0.498110112
bunka,5439217633,0.261567461,0.511436664
bunka,5439217634,0.24441723,0.494385709
bunka,5439217641,0.231818854,0.481475705
bunka,5439217642,0.21782338,0.466715524
bunka,5439217643,0.229400462,0.478957683
bunka,5439217644,0.216239691,0.465015796
bunka,5439217711,0.204337821,0.452037411
bunka,5439217713,0.20558939,0.453419662
bunka,5439217733,0.204654223,0.452387249
bunka,5439217734,0.194399094,0.440907126
bunka,5439217742,0.177244569,0.421004239
bunka,5439217743,0.185270042,0.430430067
bunka,5439217744,0.177099099,0.420831438
bunka,5439217821,0.155389339,0.394194544
bunka,5439217822,0.149870637,0.387131292
bunka,5439217823,0.156325734,0.395380493
bunka,5439217824,0.150762492,0.388281459
bunka,5439217833,0.169748373,0.412005307
bunka,5439217841,0.156884874,0.396086953
bunka,5439217842,0.151329308,0.389010678
bunka,5439217843,0.157072701,0.396323985
bunka,5439217844,0.151575195,0.389326592
bunka,5439217914,0.141047124,0.37556241
bunka,5439217923,0.136781983,0.369840483
bunka,5439217931,0.14625769,0.382436518
bunka,5439217932,0.141610538,0.376311756
bunka,5439217934,0.141929195,0.376734914
bunka,5439217941,0.137337719,0.37059104
bunka,5439217943,0.137677777,0.371049561
bunka,5439218244,0.136282659,0.369164813
bunka,5439218311,0.155876938,0.394812535
bunka,5439218312,0.173958776,0.417083656
bunka,5439218314,0.17116157,0.413716775
bunka,5439218321,0.193557662,0.439951886
bunka,5439218322,0.214627771,0.463279366
bunka,5439218323,0.188968171,0.434704694
bunka,5439218324,0.207663984,0.455701639
bunka,5439218331,0.152281819,0.390233031
bunka,5439218332,0.167581156,0.409366775
bunka,5439218333,0.149573303,0.386747079
bunka,5439218334,0.163489123,0.404337882
bunka,5439218341,0.183604878,0.428491398
bunka,5439218342,0.200060042,0.44728072
bunka,5439218343,0.177832437,0.421701834
bunka,5439218344,0.192278729,0.438495985
bunka,5439218411,0.236900828,0.486724592
bunka,5439218412,0.259582662,0.509492554
bunka,5439218413,0.226787651,0.476222271
bunka,5439218414,0.245411027,0.495389773
bunka,5439218421,0.280753562,0.529861833
bunka,5439218422,0.296674589,0.544678427
bunka,5439218423,0.2618759,0.511738116
bunka,5439218424,0.273765481,0.523226033
bunka,5439218431,0.216424142,0.465214082
bunka,5439218432,0.231833736,0.481491159
bunka,5439218433,0.206323816,0.454228814
bunka,5439218434,0.219239524,0.468230204
bunka,5439218441,0.245015328,0.49499023
bunka,5439218442,0.254429408,0.50440996
bunka,5439218443,0.230087617,0.479674491
bunka,5439218444,0.237869835,0.487719012
bunka,5439218511,0.302711496,0.550192236
bunka,5439218512,0.297532753,0.545465629
bunka,5439218513,0.278755215,0.527972741
bunka,5439218514,0.276286185,0.525629323
bunka,5439218521,0.284862205,0.53372484
bunka,5439218522,0.269311467,0.518952278
bunka,5439218523,0.268102833,0.517786475
bunka,5439218524,0.256802898,0.506757238
bunka,5439218531,0.258809782,0.508733508
bunka,5439218532,0.257884519,0.507823315
bunka,5439218533,0.241844543,0.491776924
bunka,5439218534,0.241862533,0.491795215
bunka,5439218541,0.252568628,0.502562064
bunka,5439218542,0.244383118,0.494351209
bunka,5439218543,0.238445002,0.488308306
bunka,5439218544,0.232523048,0.482206437
bunka,5439218611,0.253608823,0.503595892
bunka,5439218612,0.23889007,0.488763818
bunka,5439218613,0.244420974,0.494389496
bunka,5439218614,0.232129321,0.481798009
bunka,5439218621,0.225499267,0.474867631
bunka,5439218623,0.220485141,0.469558454
bunka,5439218624,0.209702888,0.457933279
bunka,5439218631,0.234746525,0.484506476
bunka,5439218632,0.224659121,0.473982194
bunka,5439218633,0.225072284,0.474417837
bunka,5439218641,0.214716653,0.463375283
bunka,5439218642,0.20523131,0.453024625
bunka,5439218643,0.208501266,0.456619389
bunka,5439218712,0.192963006,0.439275547
bunka,5439218714,0.190822039,0.43683182
bunka,5439218721,0.184247703,0.429240845
bunka,5439218722,0.176384727,0.419981817
bunka,5439218723,0.182623008,0.427344133
bunka,5439218724,0.175153524,0.418513469
bunka,5439218731,0.196343176,0.443106281
bunka,5439218741,0.180481603,0.424831264
bunka,5439218742,0.173467847,0.416494714
bunka,5439218811,0.169266162,0.411419691
bunka,5439218833,0.165335014,0.406614085
bunka,5439218834,0.159707233,0.399633874
bunka,5439218842,0.150515675,0.387963497
bunka,5439218843,0.154482372,0.393042455
bunka,5439218844,0.149629502,0.386819729
bunka,5439218913,0.146319027,0.382516702
bunka,5439218923,0.137730951,0.371121207
bunka,5439218931,0.1458315,0.381878907
bunka,5439218932,0.141490783,0.376152606
bunka,5439218933,0.145118309,0.380943971
bunka,5439218934,0.140920026,0.375393162
bunka,5439219221,0.122671331,0.350244673
bunka,5439219222,0.134305005,0.366476473
bunka,5439219224,0.132042154,0.36337605
bunka,5439219241,0.119686755,0.345957735
bunka,5439219242,0.129591105,0.359987646
bunka,5439219243,0.117911493,0.34338243
bunka,5439219244,0.127029977,0.35641265
bunka,5439219311,0.146496533,0.382748656
bunka,5439219312,0.159106788,0.398881922
bunka,5439219313,0.14319437,0.37841032
bunka,5439219314,0.154603055,0.39319595
bunka,5439219321,0.171920275,0.414632698
bunka,5439219322,0.184617636,0.429671544
bunka,5439219323,0.166053744,0.407496925
bunka,5439219324,0.177252013,0.421013079
bunka,5439219331,0.139778967,0.373870255
bunka,5439219332,0.150100138,0.38742759
bunka,5439219333,0.136334845,0.369235487
bunka,5439219334,0.145682282,0.381683485
bunka,5439219341,0.160352415,0.400440276
bunka,5439219342,0.17027455,0.412643369
bunka,5439219343,0.154888001,0.39355813
bunka,5439219344,0.163725391,0.404629943
bunka,5439219411,0.196749687,0.443564749
bunka,5439219412,0.207729604,0.455773632
bunka,5439219413,0.187814381,0.433375565
bunka,5439219414,0.197277111,0.44415888
bunka,5439219421,0.216872668,0.465695897
bunka,5439219422,0.22351312,0.472771742
bunka,5439219423,0.205137905,0.452921522
bunka,5439219424,0.210939075,0.459281042
bunka,5439219431,0.179546472,0.423729244
bunka,5439219432,0.187803861,0.433363428
bunka,5439219433,0.171930217,0.414644688
bunka,5439219434,0.179215796,0.423338866
bunka,5439219441,0.194673832,0.441218577
bunka,5439219442,0.199832336,0.447026102
bunka,5439219443,0.185301209,0.430466269
bunka,5439219444,0.189950656,0.435833289
bunka,5439219511,0.227188794,0.476643256
bunka,5439219512,0.227808965,0.477293374
bunka,5439219513,0.214377002,0.463008642
bunka,5439219514,0.215391394,0.464102784
bunka,5439219521,0.225689141,0.475067512
bunka,5439219522,0.221423213,0.47055628
bunka,5439219523,0.214182103,0.462798124
bunka,5439219524,0.21114163,0.459501501
bunka,5439219531,0.203070695,0.450633659
bunka,5439219532,0.204345688,0.452046113
bunka,5439219533,0.193015022,0.43933475
bunka,5439219541,0.20378826,0.451429131
bunka,5439219542,0.201665694,0.449072036
bunka,5439219611,0.215686617,0.464420733
bunka,5439219613,0.206744258,0.454691388
bunka,5439219633,0.190425072,0.436377213
bunka,5439219634,0.187064534,0.432509577
bunka,5439219641,0.189284299,0.435068154
bunka,5439219644,0.178790066,0.422835744
bunka,5439219712,0.181370671,0.425876357
bunka,5439219713,0.183534983,0.428409831
bunka,5439219714,0.177592414,0.421417149
bunka,5439219721,0.175009809,0.418341737
bunka,5439219724,0.166363539,0.407876868
bunka,5439219731,0.178907906,0.422975066
bunka,5439219743,0.165065217,0.406282189
bunka,5439219744,0.160564657,0.4007052
bunka,5439219811,0.163364233,0.404183415
bunka,5439219812,0.158079918,0.397592653
bunka,5439219813,0.161151235,0.401436464
bunka,5439219821,0.153137474,0.391327834
bunka,5439219823,0.151578627,0.389331
bunka,5439219824,0.147207737,0.383676604
bunka,5439219831,0.158746201,0.398429669
bunka,5439219842,0.14572655,0.38174147
bunka,5439219844,0.144101025,0.379606408
bunka,5439219914,0.139237113,0.373144895
bunka,5439219931,0.141836502,0.376611872
bunka,5439310212,0.107850868,0.328406559
bunka,5439310221,0.116027218,0.340627682
bunka,5439310222,0.124419701,0.352731769
bunka,5439310223,0.114079502,0.337756572
bunka,5439310224,0.121806462,0.349007825
bunka,5439310242,0.119224298,0.345288716
bunka,5439310311,0.132923378,0.364586586
bunka,5439310312,0.141404622,0.37603806
bunka,5439310313,0.129587477,0.359982607
bunka,5439310314,0.137300866,0.370541314
bunka,5439310321,0.149699064,0.386909632
bunka,5439310322,0.157612689,0.397004646
bunka,5439310331,0.126355826,0.355465647
bunka,5439310412,0.17141877,0.414027499
bunka,5439310414,0.164325115,0.405370342
bunka,5439310421,0.17686938,0.420558414
bunka,5439310422,0.181104128,0.425563306
bunka,5439310423,0.169252279,0.411402818
bunka,5439310424,0.173141246,0.416102446
bunka,5439310432,0.157855911,0.39731085
bunka,5439310433,0.147134935,0.383581719
bunka,5439310434,0.151941312,0.389796501
bunka,5439310441,0.162344276,0.40291969
bunka,5439310442,0.165939316,0.407356498
bunka,5439310443,0.156056526,0.395039904
bunka,5439310444,0.159397687,0.399246399
bunka,5439310511,0.184012813,0.428967146
bunka,5439310512,0.185569003,0.430777208
bunka,5439310514,0.177531018,0.421344298
bunka,5439310521,0.185832817,0.431083307
bunka,5439310522,0.18493726,0.430043323
bunka,5439310531,0.168575581,0.410579567
bunka,5439310532,0.170234226,0.412594505
bunka,5439310533,0.16191257,0.402383611
bunka,5439310611,0.183063221,0.427858879
bunka,5439310612,0.180411453,0.424748694
bunka,5439310613,0.176208874,0.419772408
bunka,5439310712,0.165624212,0.406969547
