mesh_code,sd_average
5439204843,0.39042135492316593
5439204913,0.39197312564436504
5439204914,0.3949226317226329
5439204931,0.39324155083692347
5439204932,0.39591193478346876
5439204941,0.39901863900111656
5439210011,0.3936003454318853
5439210024,0.39910130130803767
5439210031,0.39458399891348017
5439210033,0.3950510705476563
5439210034,0.3979950109995756
5439210042,0.4007580413845486
5439210112,0.3989261364519765
5439210113,0.4000293588496771
5439210114,0.40046639740789364
5439210131,0.40182648339192417
5439210132,0.4022492759681624
5439210133,0.4039746526658371
5439210134,0.4043180741699886
5439210213,0.39938530747666595
5439211011,0.39545456929171197
5439211012,0.39919844096867263
5439211013,0.39571770099031417
5439211014,0.4005357991200987
5439211023,0.40509907924124644
5439211031,0.3957038037670257
5439211032,0.4019170809542412
5439211033,0.3952239041264146
5439211034,0.40302453331482746
5439211041,0.4080613178990823
5439211042,0.4121965737722484
5439211043,0.41142195542834015
5439211044,0.4167672157947759
5439211111,0.4065654104672656
5439211112,0.4067080712310945
5439211122,0.4048057204557152
5439211133,0.41737265542117763
5439211134,0.41512525393124966
5439211212,0.4017856750552836
5439212011,0.3942621377340991
5439212012,0.4031011162149049
5439212013,0.39385381874779174
5439212014,0.4015440634376828
5439212021,0.4142713566354933
5439212022,0.42120650851996144
5439212023,0.4139321366587152
5439212024,0.4226102713188673
5439212031,0.3965412427381855
5439212032,0.4023785104554444
5439212033,0.40217876357887233
5439212034,0.41028862195152677
5439212041,0.40938663894846294
5439212042,0.4165983212648398
5439212043,0.41217048942449563
5439212044,0.40786625415326044
5439212111,0.42075102179822077
5439212112,0.41704148500492383
5439212113,0.42134765760079285
5439212114,0.4170302678810318
5439212121,0.4132335866047627
5439212122,0.41003929156677155
5439212123,0.4131841565488379
5439212124,0.4101197374612327
5439212131,0.4170398929696332
5439212132,0.41464469434755474
5439212133,0.4111871653622166
5439212134,0.411460903253
5439212141,0.41201365252667016
5439212142,0.4096298352692732
5439212143,0.4104412892952878
5439212144,0.4089005924668391
5439212211,0.40733249707571517
5439212213,0.40752125173297893
5439212214,0.40514620522245015
5439212231,0.4073857125829602
5439212232,0.4051779640284204
5439212233,0.40708412500919655
5439212243,0.40298184247725294
5439213011,0.4068294947539269
5439213012,0.41618862648117305
5439213013,0.4087608388668977
5439213014,0.4168341686077421
5439213021,0.418488091370216
5439213022,0.41323562702752525
5439213023,0.4194055266566147
5439213024,0.41600644542643656
5439213031,0.40883303906642066
5439213032,0.4150883601331069
